frame,person,KP_0_x,KP_0_y,KP_1_x,KP_1_y,KP_2_x,KP_2_y,KP_3_x,KP_3_y,KP_4_x,KP_4_y,KP_5_x,KP_5_y,KP_6_x,KP_6_y,KP_16_x,KP_16_y
0,1,368.754,124.755,233.449,186.911,184.652,195.69,273.316,379.742,388.71,275.485,288.873,184.549,346.569,293.269,0,0
1,1,373.176,131.39,226.752,186.871,184.619,193.514,262.271,377.636,382.124,275.55,282.2,182.411,339.904,293.309,0,0
2,1,353.235,120.305,224.543,186.857,182.361,195.677,255.591,379.754,379.788,277.776,279.983,182.351,337.655,288.914,0,0
3,1,353.242,120.311,224.556,186.858,182.354,200.111,242.386,377.566,375.413,280.014,275.641,177.936,333.234,286.639,0,0
4,1,277.843,164.668,220.037,186.852,173.573,202.316,237.781,379.744,364.29,288.897,266.686,173.575,328.854,280.048,0,0
5,1,277.878,164.617,220.043,186.82,173.573,200.166,237.775,379.737,364.289,288.897,266.695,175.718,328.88,282.204,0,0
6,1,273.42,155.828,220.085,184.684,171.302,200.118,226.804,379.731,357.67,293.261,271.137,173.514,326.617,280.038,0,0
7,1,348.749,115.776,220.073,184.524,169.086,189.097,220.099,379.769,351.041,293.347,273.378,173.506,326.63,280.024,0,0
8,1,271.132,151.358,211.215,182.399,153.599,184.654,202.331,379.807,344.267,295.521,271.074,175.763,326.543,277.778,0,0
9,1,322.187,109.227,209.003,175.722,155.799,184.552,195.738,377.623,337.715,295.543,266.673,169.102,315.522,275.623,0,0
10,1,335.488,104.742,206.867,177.989,151.387,184.664,184.701,377.588,328.793,304.358,268.922,169.146,308.836,282.215,0,0
11,1,337.657,98.1054,211.218,180.151,151.349,184.661,180.145,377.652,324.421,306.623,273.311,169.176,299.955,288.883,0,0
12,1,322.157,98.1159,209.001,173.535,151.296,182.41,169.192,377.573,319.933,308.821,271.157,169.072,300.005,286.667,0,0
13,1,344.251,95.8745,211.232,173.514,149.174,182.42,169.014,377.647,315.531,308.861,273.415,169.033,299.961,286.667,0,0
14,1,335.446,95.8455,209.019,171.343,146.898,182.388,164.671,375.384,313.306,308.877,275.625,166.904,299.967,288.869,0,0
15,1,337.72,98.0569,206.786,169.187,140.275,182.425,162.425,370.963,311.045,308.815,275.543,164.673,299.974,286.654,0,0
16,1,337.686,98.0227,206.852,169.088,140.269,182.339,158.035,368.77,308.823,308.757,275.647,164.605,295.572,286.625,0,0
17,1,337.704,98.0186,206.848,169.093,140.262,182.35,158.032,368.768,308.83,308.755,275.651,164.604,297.753,284.467,0,0
18,1,331.003,100.316,204.606,166.915,138.039,182.363,153.629,368.753,304.433,308.74,271.163,153.61,293.307,279.983,0,0
19,1,328.821,98.1964,200.13,164.661,133.661,180.212,153.526,366.595,299.979,308.764,260.031,149.2,288.861,277.82,0,0
20,1,313.307,93.6049,195.704,166.779,129.16,184.549,151.361,370.988,295.553,308.788,260.025,149.154,288.879,275.568,0,0
21,1,308.816,82.6699,197.9,166.803,129.142,184.572,151.342,373.178,295.546,308.752,262.296,149.177,293.313,273.285,0,0
22,1,297.785,84.8496,197.919,169.022,126.943,186.9,151.393,373.215,295.535,308.781,266.732,151.322,299.982,268.912,0,0
23,1,291.125,80.4831,200.114,169.065,126.938,186.917,151.372,377.577,299.97,308.783,273.276,151.364,319.931,273.366,0,0
24,1,284.451,80.2678,193.519,166.93,122.505,189.055,151.375,379.74,306.578,308.769,266.663,149.069,295.513,268.906,0,0
25,1,277.772,78.0285,193.491,166.959,120.287,191.287,151.372,379.83,306.622,308.826,266.682,146.922,302.169,271.091,273.371,60.2878
26,1,273.376,75.8616,186.921,166.949,118.049,197.947,151.381,379.843,302.197,310.981,255.628,138.069,286.682,255.578,0,0
27,1,271.137,69.3089,186.854,169.019,118.076,200.084,151.448,379.81,304.377,308.861,253.412,140.242,280.035,180.219,264.499,51.5146
28,1,268.87,69.2529,184.568,166.815,115.886,200.086,153.639,379.738,299.98,306.619,242.319,133.607,286.63,166.855,257.913,47.1192
29,1,268.861,69.2587,184.569,166.774,115.899,195.724,153.631,379.732,299.984,306.625,242.331,133.614,286.632,166.85,257.907,47.1253
30,1,262.302,67.0278,180.19,162.409,115.823,195.734,164.645,375.423,308.879,293.352,237.899,129.122,262.261,151.4,255.667,44.9596
31,1,262.261,64.8722,178.001,162.405,115.865,195.737,169.138,368.794,308.754,291.003,237.827,129.124,260.031,171.347,255.627,44.9058
32,1,264.492,64.8424,184.617,164.655,118.059,197.933,186.867,364.307,317.735,268.891,246.711,131.438,264.476,237.911,255.692,44.8867
33,1,268.894,64.9005,186.852,164.665,115.908,200.117,197.939,362.049,322.169,257.946,255.682,131.317,273.363,231.21,257.864,44.9101
34,1,273.288,67.0353,197.905,162.428,118.102,191.289,202.326,355.412,326.509,255.505,271.148,131.31,295.537,246.739,266.66,47.0736
35,1,275.647,64.8942,202.312,155.816,120.328,186.809,204.499,351.008,324.358,255.575,275.585,131.322,326.637,235.645,271.107,47.0601
36,1,282.251,67.0803,204.662,151.425,129.115,180.193,204.559,348.822,326.502,255.683,284.441,131.327,348.819,271.112,275.498,47.04
37,1,291.049,69.278,213.426,149.181,131.432,173.519,204.577,348.773,324.389,260.113,291.132,126.964,348.818,251.181,286.617,47.166
38,1,295.521,71.4828,222.371,151.42,140.279,175.726,204.642,348.754,328.773,264.461,306.574,133.546,351.018,264.478,291.081,47.143
39,1,306.579,75.8572,231.179,153.622,149.147,177.965,206.847,346.676,328.777,273.286,311.01,133.645,364.275,257.827,299.939,55.9148
40,1,311.075,75.9234,237.784,155.814,153.584,184.547,211.235,348.764,333.24,275.531,313.327,133.554,370.968,260.1,308.806,55.9702
41,1,311.077,75.9223,237.782,155.795,153.584,184.532,211.245,348.762,333.238,275.532,313.321,133.544,370.974,260.093,308.81,55.9742
42,1,319.919,78.1216,242.263,155.831,160.256,180.177,213.49,348.763,337.708,279.995,326.615,135.864,379.84,257.871,313.295,60.2707
43,1,328.729,78.1757,251.163,155.833,166.886,173.521,220.082,348.739,348.849,284.435,331.073,142.471,379.912,253.385,324.309,58.2024
44,1,344.278,80.3564,257.941,162.436,182.392,173.518,231.227,348.779,359.902,291.123,344.367,149.181,382.11,255.601,339.937,62.5426
45,1,348.794,80.4061,268.953,164.619,186.902,175.722,237.784,348.754,362.141,293.237,348.786,151.273,384.277,255.697,346.455,62.5812
46,1,359.809,82.5419,273.333,166.809,189.078,180.187,240.104,350.997,366.603,291.191,357.665,151.359,384.346,257.776,350.994,62.6126
47,1,364.309,84.8328,275.656,169.018,197.953,184.569,248.939,348.861,375.404,291.118,362.093,153.54,384.315,260.116,361.958,67.1032
48,1,368.767,87.0446,284.418,166.959,204.587,184.682,255.626,350.981,379.798,288.909,364.252,151.408,384.26,273.311,362.108,69.2886
49,1,377.606,93.6558,291.026,169.043,211.24,184.665,260.086,353.183,388.685,280.054,366.553,151.418,393.161,291.118,366.626,78.0867
50,1,382.061,95.7849,291.097,169.047,220.058,186.872,271.157,353.183,395.355,277.832,366.53,151.335,399.894,293.242,379.692,78.0527
51,1,386.538,95.8282,293.417,171.283,224.542,189.055,277.751,351.046,397.593,275.659,364.356,155.826,402.046,293.268,381.963,78.1837
52,1,393.114,98.0416,302.205,171.286,231.186,186.812,288.895,348.809,399.721,284.417,377.603,160.239,399.814,293.279,0,0
53,1,393.112,98.0424,302.204,171.323,229.016,186.871,288.901,348.816,399.72,284.415,377.6,162.404,399.798,293.3,0,0
54,1,397.6,98.2113,306.609,175.766,235.638,189.063,293.337,351.003,402.092,286.685,375.395,166.786,399.852,295.59,0,0
55,1,399.878,100.352,308.864,180.145,240.059,191.244,297.811,348.843,415.363,286.656,379.785,166.822,402.011,291.125,0,0
56,1,410.885,111.361,311.001,184.554,244.527,193.505,308.851,355.392,446.346,295.595,377.613,169.132,399.803,282.269,0,0
57,1,415.327,113.53,308.812,186.774,248.933,195.715,311.028,355.455,450.83,306.664,364.322,177.936,366.519,308.826,0,0
58,1,417.529,113.708,311.134,186.867,251.187,195.73,310.985,357.613,455.231,313.348,375.392,182.355,399.82,291.102,0,0
59,1,419.808,115.872,324.386,186.78,255.563,197.932,308.844,357.692,459.712,324.36,397.585,171.376,399.875,293.35,0,0
60,1,424.226,118.143,326.562,184.707,255.633,197.89,308.766,359.82,470.803,326.688,399.728,173.511,399.815,293.32,0,0
61,1,430.889,124.722,326.615,186.856,257.775,200.076,306.665,359.813,468.604,328.782,399.802,177.974,401.999,293.349,0,0
62,1,433.016,124.738,328.753,186.84,257.814,197.903,308.773,359.806,470.776,328.848,402.01,175.781,406.457,291.179,0,0
63,1,435.197,124.708,331.017,186.854,260.107,200.162,308.8,359.805,470.851,328.894,404.247,173.537,402.002,293.281,0,0
64,1,435.247,124.722,331.048,186.848,262.289,200.108,308.868,357.653,470.832,331.021,404.206,175.748,399.779,291.101,0,0
65,1,435.246,124.723,331.03,186.865,262.265,200.132,308.861,357.648,470.825,331.021,402.085,175.766,399.77,291.094,0,0
66,1,435.325,124.726,331.097,186.838,264.486,200.147,311.018,359.789,470.805,331.086,406.425,173.501,399.787,291.15,0,0
67,1,435.396,126.975,335.477,186.835,268.906,200.133,311.027,359.816,475.2,331.071,408.641,173.511,397.569,291.154,0,0
68,1,437.532,131.337,339.867,186.905,273.365,200.173,311.033,357.682,475.235,328.882,404.275,177.981,397.594,291.154,0,0
69,1,439.699,131.457,342.055,186.916,273.418,202.296,311.032,359.808,470.788,328.875,408.681,177.935,397.537,291.169,0,0
70,1,439.708,133.543,339.94,186.935,275.526,202.289,311.039,359.841,457.481,328.876,408.654,180.148,395.373,293.274,0,0
71,1,441.95,133.508,339.891,186.905,275.522,202.27,311.031,359.864,453.086,326.619,406.474,177.952,390.939,293.385,0,0
72,1,441.944,133.553,337.668,189.103,275.548,202.304,311.006,359.882,444.194,326.67,399.835,182.42,384.252,302.19,0,0
73,1,441.958,133.566,328.899,189.122,275.515,200.155,308.938,359.847,437.56,326.56,388.729,184.618,382.074,304.392,0,0
74,1,439.793,133.553,342.071,189.054,273.412,197.915,310.976,359.848,435.323,326.546,408.681,184.597,390.91,311.04,0,0
75,1,439.736,133.563,342.088,189.051,273.404,197.938,308.911,359.843,437.482,326.507,410.917,184.568,395.334,308.873,0,0
76,1,437.561,133.546,342.149,186.893,273.417,195.73,308.77,359.792,435.379,326.62,410.9,182.419,384.267,308.806,0,0
77,1,437.559,133.548,342.136,186.905,273.403,195.733,308.763,359.799,435.388,326.617,410.891,182.428,384.278,308.807,0,0
78,1,437.497,131.476,342.087,186.877,273.375,195.678,306.548,357.667,435.358,328.792,406.471,182.369,382.036,308.883,0,0
79,1,435.421,131.445,342.102,186.816,273.331,193.514,302.224,357.612,435.255,328.823,408.639,180.143,382.086,308.834,0,0
80,1,435.344,133.517,335.507,186.813,273.32,189.084,295.565,355.415,433.061,328.801,399.832,182.391,379.845,308.827,0,0
81,1,435.277,133.501,335.474,186.772,271.12,191.282,295.563,353.261,432.972,328.823,399.894,180.147,382.091,308.872,0,0
82,1,435.249,131.461,335.484,184.637,271.155,191.279,295.56,353.206,430.873,328.814,402.031,173.507,382.088,306.59,432.954,113.753
83,1,435.256,131.43,337.655,184.575,273.303,191.245,295.631,351.035,433.012,328.801,402.034,171.333,377.598,302.174,432.958,113.715
84,1,435.213,131.421,335.488,184.559,273.301,189.063,297.746,348.844,432.977,328.817,404.226,171.325,384.3,304.405,432.943,113.679
85,1,435.219,131.423,337.666,182.375,273.32,186.925,297.757,348.791,433.123,328.802,408.633,169.127,390.914,306.58,432.947,113.69
86,1,435.231,131.431,337.662,182.387,273.298,186.92,297.755,348.783,435.25,328.761,408.643,169.113,386.493,302.209,432.971,113.701
87,1,435.274,131.453,337.688,182.391,273.278,186.845,295.605,348.741,435.291,328.817,408.697,169.172,386.466,306.611,0,0
88,1,435.276,131.475,337.7,182.357,273.315,184.682,295.59,348.767,433.119,328.91,408.655,171.294,386.494,304.426,0,0
89,1,435.282,131.476,339.859,182.347,273.338,184.694,295.576,346.663,433.12,328.921,408.672,171.281,386.499,304.413,433.019,113.75
90,1,435.303,131.466,335.46,182.345,273.354,184.68,295.564,346.658,433.054,328.906,404.218,171.33,388.714,295.524,0,0
91,1,435.313,131.454,337.651,182.386,273.336,186.828,295.558,346.639,433.044,328.755,404.262,171.328,393.118,297.747,0,0
92,1,435.294,131.459,337.695,182.43,273.326,186.841,295.613,346.607,433.082,326.621,406.445,173.518,388.69,295.549,0,0
93,1,435.28,131.39,337.705,182.385,273.304,186.82,297.733,346.653,435.217,322.104,406.492,169.2,399.782,288.903,0,0
94,1,435.248,131.355,339.883,182.348,273.281,186.769,297.729,348.763,435.314,313.267,408.666,171.278,393.15,295.561,432.979,113.648
95,1,435.227,131.316,335.485,180.165,271.089,184.682,297.757,348.742,439.734,308.856,408.658,169.118,395.346,295.545,432.986,113.651
96,1,435.219,131.316,333.267,180.195,268.924,184.676,297.72,346.671,441.945,302.222,406.491,169.165,395.339,293.357,433.013,113.679
97,1,435.22,131.312,333.293,182.338,268.901,186.784,297.772,346.564,446.346,299.947,406.483,171.276,397.629,288.865,0,0
98,1,433.171,131.311,333.223,182.339,266.703,186.811,297.782,346.541,444.158,299.966,404.284,171.28,395.358,291.129,0,0
99,1,435.214,131.339,331.099,182.351,266.675,186.854,299.951,346.517,441.925,302.205,404.269,169.17,395.397,291.063,0,0
100,1,435.223,131.405,331.06,180.219,264.492,186.786,299.965,346.527,439.741,304.355,404.222,169.188,395.327,291.077,0,0
101,1,435.222,131.409,331.067,180.212,264.499,186.793,299.972,346.537,439.716,304.386,404.227,169.162,395.355,291.072,0,0
102,1,435.247,131.446,331.026,182.4,264.502,186.833,299.981,346.549,437.493,306.562,402.028,171.348,395.354,291.075,0,0
103,1,435.287,133.508,328.92,182.443,266.68,186.862,299.983,346.552,435.241,306.61,399.869,171.365,395.375,288.897,0,0
104,1,435.279,133.62,331.009,182.443,266.699,186.817,299.976,346.58,435.252,306.563,399.862,173.559,395.368,288.898,0,0
105,1,435.369,133.646,331.084,184.55,268.89,186.808,299.957,346.624,432.998,306.632,402.013,177.939,393.121,291.099,0,0
106,1,435.402,133.687,331.076,184.545,266.701,186.777,299.944,346.663,430.863,308.755,402.04,177.968,393.135,291.149,0,0
107,1,435.394,135.779,331.058,184.576,266.705,186.789,297.795,348.749,430.851,308.76,402.047,180.152,393.108,293.299,0,0
108,1,437.492,135.788,331.11,184.588,268.879,184.674,297.746,348.762,430.854,308.793,402.086,180.205,393.148,293.38,0,0
109,1,437.517,135.851,331.109,184.592,266.731,184.698,297.757,348.795,430.85,308.856,402.067,180.199,393.172,293.275,0,0
110,1,437.518,138.03,333.273,184.606,268.937,184.683,297.77,348.808,432.992,308.893,402.057,182.347,395.371,291.112,0,0
111,1,437.515,135.882,333.292,184.609,268.883,186.767,299.941,348.823,430.9,310.996,404.214,182.352,397.526,291.111,0,0
112,1,437.528,135.84,333.247,184.653,268.881,186.773,300.016,348.826,433.041,311.054,404.22,182.427,397.556,291.089,0,0
113,1,437.529,135.838,333.257,184.657,268.88,186.794,300.002,348.825,433.05,311.048,404.248,182.415,397.572,291.064,0,0
114,1,437.569,133.732,333.295,184.607,266.723,186.795,302.174,348.822,433.139,311.034,404.239,180.198,397.563,293.291,0,0
115,1,439.699,133.637,337.688,184.583,268.948,186.828,304.366,348.836,435.244,311.036,404.283,180.144,397.545,293.375,0,0
116,1,439.741,133.526,337.707,184.595,268.953,186.91,304.439,348.828,435.307,311.015,408.647,175.753,397.523,293.363,0,0
117,1,439.769,131.272,331.088,184.537,268.941,186.855,306.62,348.781,435.353,311.082,399.871,175.782,393.148,302.194,0,0
118,1,441.928,129.086,331.082,184.595,268.931,186.888,306.627,348.75,435.352,311.037,399.813,180.139,390.961,302.218,0,0
119,1,441.977,122.515,328.906,184.597,268.943,186.897,306.645,346.661,435.353,310.984,397.638,177.96,393.12,302.178,0,0
120,1,444.167,120.279,331.025,184.556,268.913,186.891,308.785,346.657,439.743,308.899,399.79,175.722,384.329,306.62,0,0
121,1,444.212,115.912,331.081,182.442,268.938,186.883,308.82,346.595,439.744,311.008,399.862,171.32,386.476,299.981,0,0
