frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
0,1,366.24,118.607,0.922788,245.82,207.153,0.660977,191.309,218.519,0.6032,216.269,391.248,0.792436,354.896,350.235,0.70145,300.316,191.336,0.51072,309.386,320.743,0.476309,370.681,318.526,0.465675,209.417,411.682,0.554213,150.446,425.251,0.580884,193.572,620.549,0.668403,223.036,736.419,0.69448,266.236,404.808,0.474361,347.983,516.087,0.659227,307.163,675.087,0.567526,350.294,104.982,0.859155,0.0,0.0,0.0,284.484,118.576,0.744282,0.0,0.0,0.0,377.541,740.973,0.380555,379.815,731.881,0.339734,282.161,695.536,0.433796,282.172,788.647,0.572466,257.179,788.668,0.544522,211.758,741.045,0.491165
1,1,368.383,118.599,0.924861,252.603,204.951,0.603987,191.274,218.555,0.582727,209.551,391.274,0.8437,354.8,336.72,0.784278,313.969,191.238,0.434067,300.363,323.055,0.293228,354.92,313.955,0.289632,207.249,407.123,0.555468,150.367,418.412,0.545689,191.287,613.765,0.653816,214.075,736.41,0.700653,263.977,395.741,0.451695,350.255,516.056,0.67337,311.7,677.376,0.619994,350.295,104.977,0.858417,0.0,0.0,0.0,284.481,118.588,0.743656,0.0,0.0,0.0,373.002,747.815,0.393374,375.303,736.404,0.361372,284.487,695.534,0.444234,279.925,786.449,0.571535,252.645,786.435,0.534901,209.471,741.008,0.502701
2,1,366.175,120.857,0.868433,245.894,204.851,0.659728,184.509,220.794,0.571048,207.113,393.418,0.841095,336.704,334.35,0.84528,318.525,186.756,0.442096,309.415,318.489,0.155473,373.036,311.659,0.359258,207.236,407.094,0.561464,145.863,416.198,0.549331,188.938,616.04,0.61305,218.565,736.382,0.710668,268.509,391.144,0.481219,345.727,518.376,0.692827,313.923,679.643,0.644845,350.231,111.83,0.842326,0.0,0.0,0.0,293.474,118.706,0.697366,0.0,0.0,0.0,379.832,738.703,0.34969,379.845,729.614,0.309508,288.945,695.556,0.436725,277.615,786.356,0.556976,248.063,784.144,0.558353,211.793,738.778,0.482635
3,1,363.894,123.123,0.841642,248.138,204.94,0.680313,175.454,223.116,0.561641,204.853,393.481,0.804937,334.47,334.285,0.833852,332.133,186.793,0.584609,350.286,359.415,0.0916884,0.0,0.0,0.0,207.175,407.103,0.567168,141.31,416.166,0.563043,184.433,616.064,0.641248,216.251,734.253,0.711018,266.287,391.18,0.502597,343.464,520.62,0.680643,316.132,677.42,0.662661,345.726,114.079,0.853846,352.651,111.735,0.0672754,286.676,118.672,0.711031,0.0,0.0,0.0,377.57,738.719,0.341547,379.808,729.623,0.305606,293.496,695.531,0.482125,275.331,784.095,0.5448,245.777,781.858,0.562792,211.766,738.748,0.467904
4,1,359.44,120.975,0.847714,248.151,207.156,0.696935,173.177,218.561,0.569118,200.359,393.504,0.78032,334.35,332.14,0.824063,334.4,191.338,0.656615,338.951,357.143,0.176158,370.801,309.423,0.374933,207.123,409.312,0.574112,139.096,416.185,0.566824,175.388,620.591,0.687785,214.065,736.37,0.695262,266.262,391.259,0.516498,341.23,518.341,0.703757,316.321,666.029,0.6889,341.26,114.056,0.852819,352.528,107.254,0.0603624,284.476,120.865,0.670933,0.0,0.0,0.0,377.548,740.966,0.371231,379.848,731.879,0.340794,297.969,679.644,0.48348,273.055,784.104,0.541476,243.554,781.899,0.543216,214.028,738.767,0.424026
5,1,359.432,120.97,0.849114,248.151,207.138,0.695881,173.187,218.537,0.568383,200.342,393.505,0.77821,334.35,332.141,0.823316,334.395,191.322,0.653354,338.969,357.142,0.174968,370.797,309.393,0.368711,207.114,409.323,0.570935,139.085,416.197,0.565877,175.398,620.594,0.686843,216.283,736.375,0.694711,266.254,393.431,0.513005,341.256,518.332,0.695558,318.42,666.04,0.685978,341.268,114.054,0.852226,352.533,107.25,0.0579651,284.495,120.86,0.668951,0.0,0.0,0.0,375.289,743.278,0.374259,379.819,734.12,0.346677,297.975,679.649,0.484676,273.056,784.093,0.542175,243.545,781.892,0.54597,214.047,738.761,0.424648
6,1,359.434,120.979,0.846844,248.148,207.149,0.695274,173.188,218.543,0.565886,200.351,393.527,0.7739,334.355,332.141,0.823587,334.394,191.336,0.651056,338.946,357.143,0.187966,372.954,311.691,0.375888,207.113,409.326,0.569815,139.094,416.193,0.564103,175.409,620.602,0.690392,216.27,736.393,0.690519,266.248,393.433,0.513784,343.45,518.34,0.696234,318.428,666.009,0.685542,341.268,114.053,0.851612,352.535,107.25,0.0603206,284.488,120.851,0.673484,0.0,0.0,0.0,373.045,745.514,0.375963,379.82,734.124,0.346662,297.981,679.626,0.479869,273.069,784.092,0.538192,245.773,784.107,0.53963,214.028,738.781,0.415703
7,1,359.356,120.93,0.864513,245.84,207.144,0.709171,173.119,220.804,0.57167,195.811,395.717,0.779066,334.319,332.141,0.819763,329.866,191.308,0.590462,338.924,354.89,0.223361,370.784,311.675,0.338497,204.956,409.314,0.575014,139.103,418.435,0.55785,173.083,620.573,0.732152,216.284,736.435,0.686567,264.045,391.243,0.526717,343.448,516.187,0.706025,316.292,668.295,0.656395,338.912,113.986,0.855506,352.464,105.022,0.0868928,279.854,120.926,0.718035,0.0,0.0,0.0,391.205,738.718,0.314095,391.209,731.904,0.288108,295.786,681.963,0.434085,270.806,784.161,0.531031,243.547,786.342,0.540438,218.551,738.78,0.403262
8,1,354.953,120.885,0.887369,243.58,204.902,0.744145,170.885,218.563,0.580535,191.365,397.958,0.808284,332.104,332.133,0.790155,323.072,188.956,0.633916,352.566,348.009,0.299166,0.0,0.0,0.0,202.613,407.067,0.575716,136.807,416.164,0.569415,170.902,625.118,0.741186,216.303,736.433,0.654351,261.753,391.137,0.535357,343.513,513.866,0.692764,318.482,663.786,0.631085,336.717,109.569,0.860725,352.494,102.797,0.0729079,275.346,118.623,0.69568,0.0,0.0,0.0,388.918,736.513,0.325082,388.907,731.85,0.316184,298.018,679.658,0.425729,266.269,781.876,0.543899,241.291,784.113,0.545641,220.846,738.69,0.377308
9,1,354.892,120.886,0.904129,243.621,204.889,0.758061,170.87,220.8,0.592153,191.342,395.773,0.817495,329.836,334.287,0.791859,325.314,186.795,0.675242,345.749,298.07,0.342867,373.098,313.974,0.381741,200.349,409.301,0.572942,136.787,420.721,0.590648,170.895,625.048,0.72529,216.33,736.401,0.671564,261.702,391.197,0.522553,345.744,516.091,0.695098,318.519,666.008,0.64668,336.682,109.564,0.875043,0.0,0.0,0.0,268.582,120.853,0.732677,0.0,0.0,0.0,370.748,747.768,0.356406,379.836,734.148,0.354547,298.059,679.636,0.455316,264.028,781.855,0.544118,239.018,781.894,0.545322,223.098,736.516,0.405921
