frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
0,1,197.58,137.572,0.88179,248.968,199.72,0.851902,186.894,197.614,0.781128,148.32,285.436,0.86577,126.84,368.881,0.916359,315.329,204.036,0.730085,315.396,300.362,0.861698,304.664,388.2,0.820333,214.696,351.866,0.801413,178.247,347.53,0.77279,144.037,424.677,0.783635,118.328,606.745,0.616053,251.161,360.352,0.735548,296.084,437.446,0.819084,272.563,608.849,0.725755,193.295,122.589,0.821974,214.642,122.595,0.911485,0.0,0.0,0.0,272.538,112.0,0.808606,246.877,632.474,0.607393,274.666,640.932,0.644041,274.675,619.616,0.474596,116.194,679.558,0.507716,103.345,673.121,0.470331,114.061,615.296,0.375266
1,1,197.578,137.578,0.882,248.973,199.716,0.85058,186.903,197.609,0.780621,148.321,285.433,0.866004,126.841,368.881,0.916074,315.334,204.035,0.731303,315.396,300.36,0.861398,304.664,388.199,0.820053,214.692,351.859,0.802244,178.245,347.521,0.771841,144.038,424.681,0.782591,118.331,606.747,0.615637,251.155,360.348,0.736483,296.084,437.444,0.819286,272.559,608.853,0.724712,193.297,122.583,0.821705,214.642,122.61,0.911751,0.0,0.0,0.0,272.548,112.002,0.810698,248.953,634.56,0.605358,274.679,640.938,0.646756,272.577,621.667,0.473363,116.177,679.591,0.50087,103.335,673.146,0.46576,114.065,615.302,0.372486
2,1,197.577,137.57,0.881864,248.977,199.713,0.849231,188.975,197.602,0.78068,148.322,285.432,0.865899,126.842,368.881,0.915973,315.335,204.026,0.731744,315.394,300.358,0.861081,304.667,388.2,0.818754,214.692,351.858,0.802299,178.245,347.517,0.77177,144.039,424.684,0.781524,118.34,606.762,0.613325,251.155,360.349,0.736457,296.085,437.445,0.819937,272.558,608.853,0.723508,193.294,122.583,0.820281,214.641,122.609,0.910302,0.0,0.0,0.0,272.555,112.003,0.814116,248.983,634.563,0.601253,274.711,640.939,0.648684,272.55,621.664,0.471213,116.162,681.69,0.500546,103.323,675.244,0.467558,116.181,615.335,0.362887
3,1,197.57,137.568,0.881524,248.989,199.723,0.846846,189.001,197.597,0.782547,148.318,285.418,0.868499,126.843,368.879,0.915173,315.335,206.111,0.731961,315.393,300.352,0.861398,304.664,388.198,0.819649,214.689,351.856,0.803176,178.244,347.511,0.770782,144.04,424.681,0.781276,118.339,606.764,0.613044,251.151,360.35,0.737342,296.085,437.441,0.819582,272.557,608.853,0.723213,193.292,122.573,0.8178,214.64,122.616,0.90975,0.0,0.0,0.0,272.568,112.001,0.82031,248.983,634.558,0.600057,274.712,640.935,0.647509,272.551,621.667,0.470319,116.183,679.611,0.500045,103.334,673.164,0.466433,116.2,617.409,0.362377
4,1,197.566,137.562,0.881829,248.984,199.724,0.847009,188.987,197.6,0.780639,148.321,285.42,0.86935,126.842,368.879,0.915244,315.333,206.106,0.730349,315.392,300.345,0.860258,304.669,388.203,0.81836,214.684,351.853,0.803781,178.242,347.507,0.770638,144.04,424.684,0.780947,118.338,606.762,0.610925,251.143,360.348,0.738675,296.086,437.444,0.820993,272.562,608.848,0.72461,193.278,122.574,0.817482,214.636,122.614,0.908159,0.0,0.0,0.0,272.555,112.006,0.817548,248.991,634.567,0.601457,274.718,640.942,0.653067,272.558,619.611,0.472247,114.046,685.96,0.480491,103.303,675.315,0.44525,116.189,617.438,0.36291
5,1,197.568,137.566,0.88231,248.988,199.716,0.848099,189.014,197.6,0.78229,148.318,285.414,0.869232,126.84,368.88,0.914935,315.334,204.027,0.732444,315.391,300.345,0.861279,304.667,388.205,0.818735,214.682,351.85,0.804862,178.245,347.502,0.770554,144.04,424.681,0.781763,118.326,606.766,0.607479,251.137,360.344,0.740073,296.084,437.445,0.821935,272.565,608.845,0.72418,193.284,122.578,0.817085,214.634,122.613,0.908341,0.0,0.0,0.0,272.552,112.011,0.816769,249.025,634.576,0.598818,276.834,640.947,0.661996,272.536,619.594,0.473277,111.954,688.128,0.489345,101.19,677.457,0.444239,118.303,619.562,0.35987
6,1,197.564,137.563,0.882649,248.998,199.724,0.845882,189.017,197.603,0.782064,148.317,285.428,0.867892,126.839,368.881,0.914565,315.345,204.036,0.73636,315.391,300.349,0.861493,304.667,388.21,0.817782,214.685,351.85,0.804584,178.248,347.499,0.770115,144.048,424.676,0.780954,118.323,606.759,0.611889,251.141,360.349,0.739371,296.082,437.46,0.822652,272.559,608.849,0.722221,193.294,122.586,0.817862,214.626,122.625,0.909378,0.0,0.0,0.0,272.547,114.006,0.810802,251.136,634.615,0.595163,278.94,640.951,0.670223,270.404,619.6,0.470357,111.936,688.16,0.477216,101.191,679.544,0.424486,116.167,619.556,0.370694
7,1,197.56,137.571,0.88257,249.001,199.712,0.84547,189.035,197.59,0.783118,148.318,285.44,0.864996,126.833,368.887,0.913295,315.326,204.031,0.736988,315.388,300.371,0.864427,304.664,388.203,0.817974,214.692,351.854,0.803269,178.253,347.501,0.770062,144.048,424.686,0.77735,118.322,608.854,0.608026,251.146,360.352,0.738413,296.081,437.459,0.822592,272.551,608.863,0.715228,193.297,122.588,0.817055,214.624,122.637,0.910053,0.0,0.0,0.0,270.464,114.04,0.806748,253.242,636.703,0.590273,278.944,640.961,0.665099,268.308,621.671,0.464677,111.876,690.261,0.485867,99.0857,681.682,0.421286,116.192,621.677,0.362124
8,1,197.543,137.575,0.884666,248.978,199.706,0.845228,189.014,197.578,0.779458,148.302,285.449,0.866363,126.836,368.887,0.913535,313.287,206.109,0.732292,315.382,300.375,0.859527,304.665,388.202,0.817903,214.681,351.847,0.80319,178.253,347.5,0.769982,144.048,424.686,0.781289,118.307,606.757,0.610343,251.134,358.277,0.739048,296.083,437.467,0.822243,272.579,608.862,0.72257,193.29,122.597,0.817673,212.662,122.636,0.911832,0.0,0.0,0.0,270.446,114.048,0.806569,249.039,636.696,0.605573,276.807,640.988,0.666899,272.552,621.676,0.475624,111.928,685.973,0.444524,101.209,675.299,0.400845,114.062,619.544,0.370174
9,1,197.536,137.566,0.884683,248.974,199.686,0.84531,186.903,197.565,0.779476,148.313,285.412,0.865157,126.839,368.883,0.913133,315.308,204.037,0.735202,315.383,300.377,0.860086,304.664,388.196,0.817334,214.688,351.851,0.804334,178.256,347.496,0.768698,144.057,424.669,0.778848,118.289,608.832,0.611414,251.147,360.345,0.737156,296.085,437.464,0.822196,272.585,608.838,0.731289,193.286,122.598,0.814834,212.652,122.637,0.911757,0.0,0.0,0.0,270.441,114.029,0.815555,249.002,634.617,0.604162,276.809,640.961,0.664255,274.67,619.589,0.482582,114.007,679.607,0.471841,103.31,673.134,0.427037,114.03,619.548,0.370294
10,1,197.541,137.556,0.885164,248.963,199.681,0.846586,186.892,197.568,0.781318,148.306,285.451,0.860976,126.83,368.894,0.912041,315.301,204.022,0.734191,315.382,300.38,0.860707,304.671,388.194,0.817923,214.688,351.845,0.803685,178.256,347.491,0.768697,144.045,424.682,0.778766,118.319,608.838,0.613596,251.147,360.343,0.73652,296.091,437.462,0.825608,272.575,608.849,0.72319,193.286,122.606,0.817296,212.652,122.624,0.911396,0.0,0.0,0.0,270.434,114.017,0.816136,251.144,636.724,0.590347,278.938,640.981,0.662906,270.423,621.666,0.47301,111.959,681.686,0.466121,103.29,673.125,0.422469,116.172,619.564,0.375208
