frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
0,1,211.608,173.405,0.933363,214.035,249.648,0.861409,125.077,277.621,0.724757,175.885,425.056,0.80125,313.194,356.341,0.771903,298.0,216.555,0.758223,376.826,353.757,0.874337,234.434,414.751,0.610763,292.874,455.525,0.689639,231.767,473.372,0.664834,259.847,661.533,0.662357,371.593,869.936,0.427912,356.489,437.688,0.650296,414.86,620.844,0.707759,394.463,880.072,0.321012,191.155,150.483,0.943943,231.868,152.962,0.958679,152.969,153.164,0.782358,252.236,163.139,0.459262,343.681,895.358,0.0768733,0.0,0.0,0.0,407.233,887.73,0.202427,333.603,882.615,0.0862421,0.0,0.0,0.0,376.784,882.598,0.156672
1,1,211.601,173.404,0.93465,214.033,249.646,0.86093,125.082,277.622,0.725087,175.885,425.057,0.801462,313.199,356.342,0.773338,297.987,216.546,0.760483,376.823,353.754,0.874411,234.433,414.754,0.611869,292.872,455.524,0.69121,231.763,473.375,0.666417,259.849,661.522,0.664536,369.141,869.922,0.431428,356.48,437.685,0.65082,414.848,620.857,0.707847,391.959,882.587,0.332692,191.155,150.488,0.944979,231.864,152.966,0.95738,152.956,153.143,0.78291,252.235,163.14,0.461449,341.166,895.344,0.0868114,356.365,908.123,0.079519,404.71,890.215,0.202436,333.577,882.632,0.0878323,0.0,0.0,0.0,376.76,882.57,0.147303
2,1,211.599,173.4,0.935519,214.037,249.651,0.860069,125.077,277.628,0.722849,175.886,425.067,0.800141,313.199,356.343,0.770522,298.0,216.545,0.759846,376.823,353.752,0.872734,234.431,414.751,0.608272,292.872,455.535,0.688844,231.774,475.786,0.663197,262.307,661.529,0.658505,366.606,872.46,0.423056,356.49,437.697,0.648759,414.854,620.863,0.70284,394.488,880.092,0.323114,191.156,150.487,0.946304,231.861,152.965,0.956892,152.942,153.143,0.783914,252.232,160.685,0.46021,343.721,897.826,0.0676762,0.0,0.0,0.0,407.223,887.725,0.206136,333.58,882.644,0.0876797,0.0,0.0,0.0,376.693,882.661,0.167221
3,1,211.587,173.408,0.934779,214.035,249.649,0.860242,125.076,277.63,0.723791,175.887,425.071,0.800347,313.194,356.346,0.770916,297.998,216.534,0.762168,376.819,353.749,0.872524,236.89,414.76,0.608479,292.88,455.546,0.689368,231.781,475.797,0.66435,262.32,661.515,0.658871,366.559,872.462,0.42158,356.499,437.708,0.648711,414.846,620.86,0.703871,394.475,880.093,0.330874,191.152,150.491,0.946613,231.85,152.966,0.954454,152.93,153.121,0.789033,252.22,160.662,0.459602,343.719,897.838,0.0697883,0.0,0.0,0.0,404.727,887.727,0.209107,333.569,882.658,0.0891972,0.0,0.0,0.0,374.2,882.654,0.166388
4,1,211.591,173.406,0.932871,214.042,249.655,0.860625,125.075,277.637,0.722947,175.883,425.071,0.799627,313.192,356.351,0.770735,298.023,216.544,0.755977,376.817,353.756,0.87425,236.896,414.759,0.610201,292.893,455.564,0.689062,231.786,475.814,0.665212,259.861,661.509,0.662715,366.606,872.424,0.425985,358.908,437.737,0.64703,414.832,623.289,0.698259,394.459,880.095,0.326264,191.142,150.491,0.944342,231.851,152.967,0.955564,152.926,153.153,0.783712,252.225,160.664,0.451371,343.722,897.842,0.0726324,0.0,0.0,0.0,404.723,887.739,0.206455,333.577,882.652,0.0886175,0.0,0.0,0.0,376.69,882.643,0.164445
5,1,211.587,173.405,0.933422,214.051,249.661,0.859934,125.071,277.638,0.722505,175.864,425.062,0.801152,313.18,356.353,0.769702,300.455,216.556,0.751337,376.814,353.761,0.875857,236.886,414.764,0.61061,292.887,455.564,0.690068,231.783,475.811,0.667212,262.319,661.548,0.659493,369.119,869.926,0.434247,358.904,437.744,0.648104,414.839,623.301,0.695963,391.996,882.574,0.321892,191.139,150.492,0.947471,231.858,152.975,0.958637,152.92,153.138,0.783862,252.233,160.654,0.446532,346.245,900.31,0.0765302,0.0,0.0,0.0,404.731,887.771,0.201045,333.597,882.62,0.0864687,0.0,0.0,0.0,376.75,882.599,0.157104
6,1,211.575,173.42,0.932427,214.046,249.66,0.861008,125.077,277.637,0.722793,175.878,425.063,0.800192,313.189,356.349,0.770052,300.438,216.559,0.753547,376.813,353.758,0.874981,236.888,414.76,0.609638,292.887,455.571,0.691742,231.784,475.812,0.667399,259.857,661.51,0.66342,369.122,869.914,0.433599,358.901,437.756,0.649208,414.844,623.284,0.701757,391.977,882.567,0.322487,191.143,150.5,0.948188,231.835,152.999,0.955263,152.926,153.167,0.7883,252.196,163.17,0.467245,346.197,897.902,0.0777859,0.0,0.0,0.0,404.712,887.759,0.198048,333.604,882.611,0.0851243,0.0,0.0,0.0,376.745,882.589,0.155769
7,1,211.577,173.418,0.932465,214.043,249.664,0.861711,125.075,277.641,0.722568,175.908,425.063,0.797422,313.192,356.342,0.769455,300.438,216.568,0.752428,376.807,353.752,0.873823,236.893,414.767,0.607861,292.89,455.577,0.693152,231.794,475.812,0.669688,259.852,661.478,0.668579,369.114,867.424,0.431404,358.899,437.767,0.650294,414.849,620.877,0.707848,394.455,880.043,0.327087,191.146,150.496,0.949053,231.839,152.994,0.95627,152.918,153.129,0.795592,252.192,163.152,0.457753,343.707,895.34,0.0815119,0.0,0.0,0.0,407.215,887.701,0.202579,333.58,882.64,0.0907177,335.96,885.235,0.109859,376.739,882.566,0.156673
8,1,211.574,173.42,0.930801,214.052,249.663,0.860392,125.088,277.637,0.72258,175.902,425.054,0.798139,313.187,356.348,0.769733,300.449,216.567,0.751982,376.805,353.755,0.875109,236.897,414.754,0.605191,292.887,455.561,0.692095,231.793,475.805,0.667948,262.323,661.492,0.663265,366.551,869.913,0.42397,356.504,437.73,0.651778,414.83,623.304,0.700041,392.027,880.082,0.333675,191.151,150.486,0.947817,231.84,152.985,0.956499,152.932,153.105,0.801431,252.19,160.694,0.464693,346.221,897.882,0.0770388,0.0,0.0,0.0,404.702,887.722,0.209325,333.553,882.659,0.0919274,0.0,0.0,0.0,374.179,882.603,0.162459
9,1,211.579,173.418,0.93185,214.06,249.673,0.860231,125.085,277.638,0.722171,175.89,425.049,0.798697,313.19,356.345,0.769477,300.479,216.583,0.747024,376.806,353.76,0.875985,236.9,414.752,0.603232,292.881,455.576,0.691752,231.791,475.817,0.669025,262.34,661.501,0.659733,364.016,869.929,0.413628,356.499,437.744,0.651571,414.837,623.305,0.699939,394.456,880.066,0.33665,191.155,150.494,0.949783,231.842,152.98,0.957421,152.946,153.12,0.802481,252.192,160.674,0.461371,346.217,897.883,0.0740143,0.0,0.0,0.0,404.685,887.708,0.211672,333.528,882.652,0.093228,0.0,0.0,0.0,371.658,882.617,0.165231
10,1,211.58,173.417,0.931322,214.06,249.677,0.861389,125.084,277.645,0.722258,175.887,425.057,0.798986,313.189,356.345,0.770118,300.484,216.582,0.746479,376.806,353.757,0.875101,236.895,414.747,0.603227,292.883,455.568,0.692129,231.792,475.812,0.66844,262.32,661.508,0.66116,364.025,869.915,0.413475,356.499,437.737,0.65266,414.837,623.295,0.700403,394.455,880.057,0.337263,191.154,150.492,0.949023,231.84,152.977,0.956597,152.943,153.121,0.799402,252.194,160.673,0.460629,346.215,897.87,0.0762691,0.0,0.0,0.0,404.681,887.706,0.212128,333.528,882.66,0.0951137,0.0,0.0,0.0,371.66,882.619,0.164312
11,1,211.576,173.419,0.931163,214.057,249.675,0.862076,125.084,277.645,0.722841,175.901,425.062,0.798752,313.173,356.348,0.771096,300.48,216.577,0.74728,376.795,353.763,0.877942,234.432,414.741,0.606763,292.887,455.561,0.693269,231.792,475.808,0.670463,259.861,661.447,0.668594,369.062,869.898,0.426378,356.495,437.733,0.653727,414.856,623.292,0.707242,392.007,880.097,0.329429,191.15,150.494,0.948542,231.841,152.973,0.95666,152.945,153.128,0.797472,252.199,160.659,0.464739,346.231,897.872,0.0790092,0.0,0.0,0.0,404.692,887.743,0.201396,333.561,882.647,0.0910267,0.0,0.0,0.0,374.215,882.572,0.155881
12,1,211.571,173.424,0.930972,214.061,249.678,0.861835,125.089,277.645,0.723784,175.892,425.059,0.800018,313.191,356.343,0.772827,300.485,216.581,0.74653,376.799,353.761,0.878266,234.417,414.744,0.609641,292.874,455.546,0.695507,231.773,475.8,0.670419,259.854,661.435,0.672642,366.543,869.891,0.422044,356.478,437.713,0.657063,414.859,620.883,0.711561,391.992,880.074,0.343672,191.146,150.5,0.949671,231.842,152.984,0.956739,152.936,153.1,0.801246,252.196,160.667,0.459382,346.213,897.868,0.0834375,0.0,0.0,0.0,402.184,887.73,0.209055,333.548,885.162,0.0952852,333.595,887.736,0.116352,374.149,882.596,0.154772
