frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
0,1,181.51,121.606,0.828952,185.715,177.201,0.732036,128.725,191.467,0.662425,118.805,295.507,0.83145,177.269,353.932,0.684368,242.778,162.933,0.66965,292.688,245.639,0.788684,295.498,278.428,0.724938,177.252,332.534,0.498162,143.0,331.105,0.501582,53.2057,345.332,0.767096,215.686,415.175,0.623124,212.86,331.133,0.485011,288.368,348.233,0.590272,111.639,393.864,0.453546,162.981,107.324,0.893743,198.559,98.829,0.904283,141.538,113.107,0.668658,224.247,98.8618,0.672155,74.5764,429.441,0.458914,83.1276,427.99,0.452911,0.0,0.0,0.0,255.571,390.985,0.266861,258.464,425.155,0.182068,221.409,428.017,0.267764
1,1,182.89,121.615,0.826713,184.359,177.209,0.72778,128.722,191.482,0.658698,118.808,295.512,0.830472,178.618,355.323,0.682529,242.773,162.934,0.667131,292.692,245.641,0.787141,295.493,278.441,0.723016,177.236,332.559,0.498931,142.989,331.134,0.501607,53.2128,345.33,0.76557,215.684,415.174,0.623175,212.844,332.533,0.484382,288.368,348.219,0.586398,110.258,395.227,0.453903,162.984,107.341,0.900339,198.565,98.8315,0.90479,141.545,114.511,0.670769,224.258,98.8495,0.668838,74.5741,429.441,0.45934,83.1284,427.992,0.453547,0.0,0.0,0.0,255.587,392.356,0.265254,258.459,425.151,0.185082,221.409,428.015,0.267393
2,1,182.895,121.611,0.827246,185.719,177.203,0.732791,128.732,191.474,0.661836,118.817,295.501,0.827961,178.653,355.374,0.675327,242.777,162.929,0.67229,292.69,245.637,0.788943,295.489,279.785,0.719392,177.264,333.949,0.488813,143.006,332.531,0.496968,53.209,345.329,0.76592,215.673,415.169,0.613521,214.249,332.537,0.475801,288.342,348.239,0.588246,111.641,393.869,0.452463,164.31,107.34,0.903684,198.562,98.8363,0.903934,141.535,114.497,0.687801,224.26,98.8483,0.678808,74.5746,429.448,0.460288,83.1266,427.997,0.455726,0.0,0.0,0.0,268.431,409.486,0.206597,258.466,425.163,0.190238,221.406,428.013,0.257737
3,1,182.914,120.289,0.832479,185.718,177.202,0.734465,128.739,191.471,0.665117,118.817,295.481,0.826888,178.654,356.729,0.68007,242.779,162.931,0.672395,292.688,245.632,0.792387,294.096,279.796,0.723777,178.618,332.556,0.485206,143.012,332.521,0.495191,53.2067,345.327,0.764656,215.68,415.165,0.608614,214.257,332.532,0.473802,288.346,348.235,0.591528,110.262,393.872,0.455302,164.315,107.347,0.907883,198.56,98.8339,0.905575,141.541,115.913,0.700534,224.277,98.8265,0.684794,74.5717,429.449,0.464933,83.1244,427.997,0.459167,0.0,0.0,0.0,268.415,408.066,0.207594,258.468,425.151,0.1885,221.41,428.011,0.250683
4,1,182.93,121.606,0.832696,185.716,177.215,0.732574,128.737,191.48,0.665118,118.817,295.488,0.828206,178.645,355.375,0.680059,242.772,162.949,0.671067,294.07,245.676,0.769329,294.082,279.797,0.72616,177.246,332.557,0.496711,143.003,331.13,0.500475,53.2103,345.337,0.766763,214.288,415.166,0.61862,212.849,332.528,0.484113,286.942,348.27,0.597938,110.253,393.866,0.452906,164.316,107.353,0.911478,198.573,98.855,0.905915,141.534,115.928,0.688736,224.276,98.8731,0.676974,74.5698,428.071,0.464634,83.1245,426.631,0.45515,0.0,0.0,0.0,268.423,410.909,0.20877,258.46,425.15,0.19433,221.393,428.011,0.255271
5,1,184.3,120.286,0.834089,185.72,177.212,0.730494,128.737,191.483,0.661861,118.832,295.5,0.82454,178.662,356.742,0.676834,242.774,162.941,0.664154,294.068,245.668,0.767111,294.09,279.776,0.727975,177.23,332.546,0.500199,142.996,331.117,0.500886,53.2086,345.334,0.766262,214.281,415.157,0.6244,212.836,332.52,0.484466,285.525,349.628,0.607674,110.258,393.863,0.451452,164.325,107.355,0.91381,198.571,98.8498,0.90409,141.532,115.956,0.69254,224.241,100.254,0.658488,74.5726,429.439,0.466898,83.122,427.99,0.455876,0.0,0.0,0.0,266.998,408.069,0.221086,258.455,423.751,0.205874,221.382,428.01,0.259765
6,1,184.33,120.275,0.84328,185.726,177.215,0.734531,128.742,191.471,0.666609,118.84,295.501,0.823516,178.66,356.742,0.673186,244.138,162.972,0.671578,294.078,247.019,0.753751,295.476,278.427,0.730241,177.217,332.538,0.509353,142.991,331.108,0.505437,53.2034,345.331,0.766582,214.276,415.154,0.626244,212.818,331.129,0.494512,284.095,349.665,0.642036,110.243,395.231,0.45276,164.357,107.352,0.918821,198.591,98.8558,0.902924,141.549,117.314,0.676086,225.648,98.8334,0.648298,74.5622,429.447,0.472354,83.1217,428.002,0.459889,0.0,0.0,0.0,267.0,408.066,0.220188,258.456,423.744,0.20024,221.383,428.015,0.259014
7,1,184.344,120.276,0.845921,185.73,177.217,0.734627,128.749,191.472,0.667626,120.147,295.516,0.822161,180.037,356.783,0.669479,244.137,162.981,0.670743,294.076,245.668,0.763598,295.473,278.397,0.733474,177.206,332.54,0.511649,142.99,331.11,0.506048,53.2095,345.333,0.766441,214.281,415.155,0.625601,211.446,331.134,0.494804,284.078,349.651,0.647785,110.244,395.228,0.452588,164.369,107.352,0.921729,198.607,98.8594,0.906032,141.57,117.36,0.694837,225.642,100.237,0.659029,74.5627,429.446,0.473827,83.1217,428.001,0.461173,0.0,0.0,0.0,268.409,410.914,0.22753,258.463,423.739,0.208334,221.388,428.013,0.264161
8,1,185.718,121.611,0.847894,185.729,177.198,0.741523,128.752,191.445,0.674119,120.153,295.509,0.822101,180.042,356.787,0.666638,242.788,162.966,0.673057,294.073,245.663,0.770461,294.098,278.401,0.743331,177.209,332.534,0.513425,142.996,331.107,0.508165,53.2085,345.331,0.767131,214.259,415.158,0.622685,211.443,331.128,0.496422,284.1,349.646,0.646824,110.226,395.24,0.453552,164.392,107.359,0.929706,198.625,98.8746,0.904338,141.574,117.342,0.661235,224.279,100.281,0.646828,73.2148,429.433,0.480368,83.1144,428.001,0.46762,0.0,0.0,0.0,268.397,410.913,0.216743,258.445,423.728,0.194237,221.36,426.628,0.258776
9,1,185.735,121.616,0.851186,185.739,177.217,0.741453,128.754,191.463,0.671405,120.154,295.484,0.824015,178.674,356.776,0.664965,244.138,162.981,0.679759,294.107,247.027,0.744098,294.065,279.775,0.716756,177.218,332.529,0.512551,143.001,331.098,0.506349,51.87,345.324,0.767097,214.243,415.16,0.622432,211.452,331.128,0.496502,285.5,349.641,0.642013,110.22,395.232,0.456069,164.408,107.354,0.933092,198.645,98.8767,0.907347,141.542,114.516,0.642104,225.657,98.8639,0.646255,73.2138,429.434,0.483654,83.1159,428.004,0.469042,0.0,0.0,0.0,268.407,410.923,0.219048,258.452,423.724,0.195837,221.349,426.629,0.257798
10,1,185.735,121.616,0.851324,185.739,177.217,0.742118,128.754,191.463,0.671228,120.152,295.48,0.825064,178.672,356.771,0.666446,244.14,162.982,0.680887,294.096,245.687,0.752329,294.076,278.436,0.72538,177.22,332.526,0.513297,143.009,329.71,0.507327,53.2047,345.327,0.767036,214.253,415.152,0.622121,211.454,331.126,0.497291,285.505,349.649,0.640754,110.221,395.231,0.457286,164.408,107.354,0.933058,198.645,98.8768,0.907448,141.543,114.518,0.641609,225.659,98.8584,0.65308,73.2159,429.434,0.483973,83.1162,428.003,0.469124,0.0,0.0,0.0,268.421,410.906,0.225616,259.859,422.318,0.199709,221.363,428.008,0.253236
11,1,185.753,121.617,0.859558,185.751,177.204,0.74651,128.764,191.449,0.672646,120.158,295.468,0.825963,178.668,356.771,0.666983,244.143,162.972,0.679637,294.1,247.027,0.747276,294.059,279.763,0.721667,177.227,332.527,0.511909,143.009,331.099,0.506729,53.2046,345.328,0.766549,214.256,415.151,0.622071,211.457,331.125,0.496485,284.084,349.631,0.649323,110.223,395.232,0.455639,164.423,107.361,0.93705,199.969,98.8881,0.90049,141.539,113.106,0.62552,227.097,100.235,0.678159,73.22,429.443,0.481085,83.118,428.011,0.465747,0.0,0.0,0.0,268.409,409.503,0.221465,259.867,422.318,0.195178,221.37,428.009,0.250824
12,1,185.777,121.628,0.863058,185.761,177.211,0.746705,128.775,191.464,0.672651,120.154,294.093,0.828632,178.652,356.758,0.671203,244.159,162.976,0.683812,294.075,245.663,0.767014,294.069,278.41,0.732937,177.241,332.538,0.511286,143.018,331.118,0.508671,53.2109,345.33,0.767792,214.26,415.152,0.621235,212.824,331.124,0.497758,284.099,349.629,0.649483,110.212,395.25,0.455696,164.439,107.363,0.938236,199.996,100.235,0.897329,141.582,114.526,0.611535,229.942,97.4334,0.767436,73.21,429.441,0.480899,83.1156,428.015,0.467124,0.0,0.0,0.0,268.435,410.914,0.222297,259.884,422.319,0.193323,221.375,426.635,0.253067
